a_i  	N_t         	N_i         	N_p         
1.740	1.460544e+06	1.452875e+06	7.668668e+03
1.750	1.479358e+06	1.471796e+06	7.561663e+03
1.760	1.498234e+06	1.490778e+06	7.456160e+03
1.770	1.517180e+06	1.509827e+06	7.352138e+03
1.780	1.536200e+06	1.528950e+06	7.249576e+03
1.790	1.555300e+06	1.548152e+06	7.148455e+03
1.800	1.574488e+06	1.567439e+06	7.048754e+03
1.810	1.593767e+06	1.586817e+06	6.950453e+03
1.820	1.613148e+06	1.606294e+06	6.853533e+03
1.830	1.632636e+06	1.625878e+06	6.757974e+03
1.840	1.652243e+06	1.645579e+06	6.663757e+03
1.850	1.671975e+06	1.665404e+06	6.570863e+03
1.860	1.691841e+06	1.685361e+06	6.479274e+03
1.870	1.711846e+06	1.705457e+06	6.388971e+03
1.880	1.731997e+06	1.725697e+06	6.299936e+03
1.890	1.752296e+06	1.746084e+06	6.212151e+03
1.900	1.772750e+06	1.766625e+06	6.125598e+03
1.910	1.793362e+06	1.787322e+06	6.040260e+03
1.920	1.814137e+06	1.808181e+06	5.956120e+03
1.930	1.835079e+06	1.829206e+06	5.873160e+03
1.940	1.856192e+06	1.850400e+06	5.791364e+03
1.950	1.877482e+06	1.871771e+06	5.710716e+03
1.960	1.898953e+06	1.893322e+06	5.631200e+03
1.970	1.920603e+06	1.915051e+06	5.552800e+03
1.980	1.942435e+06	1.936960e+06	5.475499e+03
1.990	1.964454e+06	1.959055e+06	5.399283e+03
2.000	1.986661e+06	1.981337e+06	5.324136e+03
2.010	2.009051e+06	2.003801e+06	5.250043e+03
2.020	2.031624e+06	2.026447e+06	5.176988e+03
2.030	2.054375e+06	2.049270e+06	5.104956e+03
2.040	2.077304e+06	2.072270e+06	5.033934e+03
2.050	2.100409e+06	2.095445e+06	4.963905e+03
2.060	2.123683e+06	2.118788e+06	4.894853e+03
2.070	2.147127e+06	2.142300e+06	4.826765e+03
2.080	2.170741e+06	2.165981e+06	4.759626e+03
2.090	2.194521e+06	2.189828e+06	4.693422e+03
2.100	2.218465e+06	2.213836e+06	4.628139e+03
2.110	2.242566e+06	2.238002e+06	4.563764e+03
2.120	2.266821e+06	2.262321e+06	4.500284e+03
2.130	2.291225e+06	2.286787e+06	4.437688e+03
2.140	2.315773e+06	2.311397e+06	4.375961e+03
2.150	2.340460e+06	2.336145e+06	4.315093e+03
2.160	2.365280e+06	2.361025e+06	4.255072e+03
2.170	2.390229e+06	2.386033e+06	4.195886e+03
2.180	2.415299e+06	2.411162e+06	4.137526e+03
2.190	2.440483e+06	2.436403e+06	4.079979e+03
2.200	2.465776e+06	2.461753e+06	4.023235e+03
2.210	2.491174e+06	2.487206e+06	3.967279e+03
2.220	2.516671e+06	2.512759e+06	3.912100e+03
2.230	2.542266e+06	2.538408e+06	3.857687e+03
2.240	2.567953e+06	2.564149e+06	3.804028e+03
2.250	2.593726e+06	2.589975e+06	3.751111e+03
2.260	2.619577e+06	2.615878e+06	3.698926e+03
2.270	2.645505e+06	2.641857e+06	3.647462e+03
2.280	2.671506e+06	2.667909e+06	3.596710e+03
2.290	2.697575e+06	2.694029e+06	3.546658e+03
2.300	2.723710e+06	2.720213e+06	3.497300e+03
2.310	2.749903e+06	2.746454e+06	3.448625e+03
2.320	2.776149e+06	2.772748e+06	3.400624e+03
2.330	2.802444e+06	2.799091e+06	3.353287e+03
2.340	2.828786e+06	2.825480e+06	3.306605e+03
2.350	2.855171e+06	2.851911e+06	3.260568e+03
2.360	2.881597e+06	2.878382e+06	3.215167e+03
2.370	2.908059e+06	2.904889e+06	3.170392e+03
2.380	2.934552e+06	2.931426e+06	3.126235e+03
2.390	2.961075e+06	2.957992e+06	3.082686e+03
2.400	2.987623e+06	2.984583e+06	3.039737e+03
2.410	3.014196e+06	3.011199e+06	2.997379e+03
2.420	3.040791e+06	3.037836e+06	2.955604e+03
2.430	3.067407e+06	3.064492e+06	2.914402e+03
2.440	3.094041e+06	3.091167e+06	2.873766e+03
2.450	3.120693e+06	3.117859e+06	2.833688e+03
2.460	3.147363e+06	3.144569e+06	2.794160e+03
2.470	3.174046e+06	3.171291e+06	2.755173e+03
2.480	3.200741e+06	3.198024e+06	2.716721e+03
2.490	3.227446e+06	3.224768e+06	2.678795e+03
2.500	3.254162e+06	3.251521e+06	2.641388e+03
2.510	3.280887e+06	3.278282e+06	2.604493e+03
2.520	3.307620e+06	3.305052e+06	2.568103e+03
2.530	3.334362e+06	3.331830e+06	2.532211e+03
2.540	3.361112e+06	3.358615e+06	2.496810e+03
2.550	3.387871e+06	3.385409e+06	2.461892e+03
2.560	3.414638e+06	3.412210e+06	2.427452e+03
2.570	3.441413e+06	3.439020e+06	2.393481e+03
2.580	3.468198e+06	3.465838e+06	2.359974e+03
2.590	3.494991e+06	3.492664e+06	2.326924e+03
2.600	3.521793e+06	3.519499e+06	2.294324e+03
2.610	3.548606e+06	3.546343e+06	2.262168e+03
2.620	3.575428e+06	3.573197e+06	2.230449e+03
2.630	3.602255e+06	3.600056e+06	2.199163e+03
2.640	3.629088e+06	3.626920e+06	2.168301e+03
2.650	3.655927e+06	3.653790e+06	2.137859e+03
2.660	3.682774e+06	3.680666e+06	2.107830e+03
2.670	3.709627e+06	3.707549e+06	2.078208e+03
2.680	3.736489e+06	3.734440e+06	2.048989e+03
2.690	3.763360e+06	3.761339e+06	2.020165e+03
2.700	3.790240e+06	3.788248e+06	1.991732e+03
2.710	3.817130e+06	3.815166e+06	1.963684e+03
2.720	3.844033e+06	3.842097e+06	1.936016e+03
2.730	3.870950e+06	3.869041e+06	1.908723e+03
2.740	3.897880e+06	3.895999e+06	1.881798e+03
2.750	3.924826e+06	3.922971e+06	1.855237e+03
2.760	3.951786e+06	3.949957e+06	1.829034e+03
2.770	3.978762e+06	3.976959e+06	1.803185e+03
2.780	4.005749e+06	4.003971e+06	1.777685e+03
2.790	4.032747e+06	4.030995e+06	1.752528e+03
2.800	4.059756e+06	4.058029e+06	1.727711e+03
2.810	4.086777e+06	4.085074e+06	1.703229e+03
2.820	4.113809e+06	4.112130e+06	1.679076e+03
2.830	4.140855e+06	4.139200e+06	1.655249e+03
2.840	4.167914e+06	4.166282e+06	1.631742e+03
2.850	4.194986e+06	4.193378e+06	1.608552e+03
2.860	4.222073e+06	4.220487e+06	1.585674e+03
2.870	4.249174e+06	4.247611e+06	1.563104e+03
2.880	4.276290e+06	4.274749e+06	1.540837e+03
2.890	4.303421e+06	4.301902e+06	1.518869e+03
2.900	4.330569e+06	4.329072e+06	1.497196e+03
2.910	4.357733e+06	4.356258e+06	1.475814e+03
2.920	4.384915e+06	4.383461e+06	1.454720e+03
2.930	4.412116e+06	4.410682e+06	1.433908e+03
2.940	4.439333e+06	4.437920e+06	1.413376e+03
2.950	4.466568e+06	4.465175e+06	1.393119e+03
2.960	4.493821e+06	4.492448e+06	1.373133e+03
2.970	4.521092e+06	4.519738e+06	1.353415e+03
2.980	4.548380e+06	4.547046e+06	1.333960e+03
2.990	4.575686e+06	4.574372e+06	1.314766e+03
3.000	4.603011e+06	4.601715e+06	1.295828e+03
3.010	4.630354e+06	4.629077e+06	1.277143e+03
3.020	4.657716e+06	4.656457e+06	1.258708e+03
3.030	4.685097e+06	4.683857e+06	1.240518e+03
3.040	4.712498e+06	4.711275e+06	1.222571e+03
3.050	4.739917e+06	4.738713e+06	1.204864e+03
3.060	4.767357e+06	4.766169e+06	1.187392e+03
