a_i  	N_t         	N_i         	N_p         	N_a         
1.430	2.200100e+05	2.181691e+05	1.840883e+03	1.251693e+04
1.440	2.224094e+05	2.205940e+05	1.815430e+03	1.254238e+04
1.450	2.248018e+05	2.230115e+05	1.790308e+03	1.256750e+04
1.460	2.271867e+05	2.254212e+05	1.765513e+03	1.259230e+04
1.470	2.295642e+05	2.278232e+05	1.741041e+03	1.261677e+04
1.480	2.319351e+05	2.302182e+05	1.716887e+03	1.264092e+04
1.490	2.343000e+05	2.326070e+05	1.693047e+03	1.266476e+04
1.500	2.366599e+05	2.349904e+05	1.669518e+03	1.268829e+04
1.510	2.390157e+05	2.373694e+05	1.646295e+03	1.271151e+04
1.520	2.413678e+05	2.397444e+05	1.623375e+03	1.273443e+04
1.530	2.437166e+05	2.421159e+05	1.600754e+03	1.275705e+04
1.540	2.460626e+05	2.444841e+05	1.578428e+03	1.277938e+04
1.550	2.484058e+05	2.468494e+05	1.556393e+03	1.280142e+04
1.560	2.507468e+05	2.492122e+05	1.534646e+03	1.282316e+04
1.570	2.530863e+05	2.515731e+05	1.513182e+03	1.284463e+04
1.580	2.554249e+05	2.539329e+05	1.491998e+03	1.286581e+04
1.590	2.577637e+05	2.562926e+05	1.471091e+03	1.288672e+04
1.600	2.601038e+05	2.586534e+05	1.450458e+03	1.290735e+04
1.610	2.624466e+05	2.610165e+05	1.430093e+03	1.292772e+04
1.620	2.647934e+05	2.633834e+05	1.409995e+03	1.294781e+04
1.630	2.671453e+05	2.657551e+05	1.390159e+03	1.296765e+04
1.640	2.695034e+05	2.681328e+05	1.370582e+03	1.298723e+04
1.650	2.718685e+05	2.705172e+05	1.351261e+03	1.300655e+04
1.660	2.742411e+05	2.729089e+05	1.332193e+03	1.302562e+04
1.670	2.766213e+05	2.753080e+05	1.313374e+03	1.304443e+04
1.680	2.790095e+05	2.777147e+05	1.294801e+03	1.306301e+04
1.690	2.814055e+05	2.801290e+05	1.276471e+03	1.308134e+04
1.700	2.838092e+05	2.825508e+05	1.258381e+03	1.309943e+04
1.710	2.862208e+05	2.849803e+05	1.240527e+03	1.311728e+04
1.720	2.886405e+05	2.874176e+05	1.222906e+03	1.313490e+04
1.730	2.910689e+05	2.898633e+05	1.205516e+03	1.315229e+04
1.740	2.935067e+05	2.923183e+05	1.188354e+03	1.316946e+04
1.750	2.959546e+05	2.947831e+05	1.171416e+03	1.318639e+04
1.760	2.984130e+05	2.972583e+05	1.154700e+03	1.320311e+04
1.770	3.008820e+05	2.997438e+05	1.138202e+03	1.321961e+04
1.780	3.033610e+05	3.022391e+05	1.121920e+03	1.323589e+04
1.790	3.058489e+05	3.047431e+05	1.105851e+03	1.325196e+04
1.800	3.083448e+05	3.072548e+05	1.089992e+03	1.326782e+04
1.810	3.108479e+05	3.097736e+05	1.074340e+03	1.328347e+04
1.820	3.133578e+05	3.122989e+05	1.058894e+03	1.329892e+04
1.830	3.158745e+05	3.148309e+05	1.043649e+03	1.331416e+04
1.840	3.183982e+05	3.173696e+05	1.028604e+03	1.332921e+04
1.850	3.209289e+05	3.199152e+05	1.013755e+03	1.334405e+04
1.860	3.234664e+05	3.224673e+05	9.991007e+02	1.335871e+04
1.870	3.260099e+05	3.250252e+05	9.846379e+02	1.337317e+04
1.880	3.285583e+05	3.275879e+05	9.703642e+02	1.338744e+04
1.890	3.311104e+05	3.301542e+05	9.562771e+02	1.340153e+04
1.900	3.336652e+05	3.327228e+05	9.423742e+02	1.341543e+04
1.910	3.362215e+05	3.352929e+05	9.286530e+02	1.342916e+04
1.920	3.387787e+05	3.378636e+05	9.151111e+02	1.344270e+04
1.930	3.413362e+05	3.404345e+05	9.017462e+02	1.345606e+04
1.940	3.438935e+05	3.430049e+05	8.885560e+02	1.346925e+04
1.950	3.464500e+05	3.455744e+05	8.755381e+02	1.348227e+04
